,Date,name,Open,High,Low,Close,AdjClose,Volume,adjClose_diff,content,rt,like
0,2022-03-10,@BillGates,283.019989,286.600006,280.579987,285.589996,280.513275,30628000.0,-2.8582459999999514,no content,0,0
1,2022-03-10,@Carl_C_Icahn,54.110001,54.400002,53.5,54.0,36.29631,551600.0,0.0470499999999987,no content,0,0
2,2022-03-10,@JohnLegere,120.660004,123.919998,120.440002,123.540001,122.514946,4200600.0,1.566886999999994,Absolutely not - always ice cold water!,2.0,64
3,2022-03-10,@JohnLegere,120.660004,123.919998,120.440002,123.540001,122.514946,4200600.0,1.566886999999994,Spell check via text is a game changer!,1.0,21
4,2022-03-10,@JohnLegere,120.660004,123.919998,120.440002,123.540001,122.514946,4200600.0,1.566886999999994,"I wish I saw this before my flight today!
https://buzzfeed.com/daniellehealy/products-youll-never-want-to-fly-without?origin=web-hf…",2.0,23
5,2022-03-10,@LisaSu,108.889999,109.07,103.07,106.459999,106.459999,102557400.0,-4.590004000000008,no content,0,0
6,2022-03-10,@bchesky,145.220001,152.889999,144.408997,151.800003,151.800003,5302500.0,3.4900049999999965,no content,0,0
7,2022-03-10,@elonmusk,283.816681,284.816681,270.119995,279.433319,279.433319,58648500.0,-6.890015000000005,no content,0,0
8,2022-03-10,@levie,26.52,27.305,25.620001,26.0,26.0,2026600.0,-0.8500000000000014,no content,0,0
9,2022-03-10,@reedhastings,356.200012,367.019989,353.299988,356.769989,356.769989,4807800.0,-2.020019999999988,no content,0,0
10,2022-03-10,@richardbranson,7.71,7.715,7.38,7.57,7.57,9681000.0,-0.25,no content,0,0
11,2022-03-11,@BillGates,287.959991,289.51001,279.429993,280.070007,275.091339,27209300.0,-5.4219360000000165,no content,0,0
12,2022-03-11,@Carl_C_Icahn,54.5,54.5,53.52,53.700001,36.094658,562400.0,-0.2016519999999957,no content,0,0
13,2022-03-11,@JohnLegere,124.43,126.379997,124.400002,124.57,123.5364,4207200.0,1.0214540000000056,ABSOLUTELY NOT!,8.0,43
